id,type,title,description,image,parent_group
82,t,Natural & Broad Loom,,default-rug.png,
81,t,Traditional,,rug-groups/s480386452440936931_p22_i1_w640.jpeg,
80,t,Ethnic,,rug-groups/s480386452440936931_p61_i1_w640_1.jpeg,
79,t,Decorative,,rug-groups/s480386452440936931_p3_i8_w600.png,
78,t,Sustainable,,rug-groups/s480386452440936931_p1064_i1_w640.jpeg,
77,t,Furniture / Accessories,,rug-groups/s480386452440936931_p350_i1_w640.jpeg,
76,t,Gallery Size,,rug-groups/s480386452440936931_p671_i1_w576.jpeg,
75,t,Runners,,rug-groups/s480386452440936931_p120_i1_w640.jpeg,
74,a,Custom Order,,rug-groups/img-4540_orig.jpg,64
73,a,Swedish / Scandinavian Inspired,,rug-groups/s480386452440936931_p408_i2_w640.jpeg,64
72,a,Afghan,,rug-groups/s480386452440936931_p1137_i1_w640.jpeg,71
71,a,Modern Flatweave,,rug-groups/s480386452440936931_p17_i1_w640.jpeg,64
70,a,Modern,,rug-groups/s480386452440936931_p1069_i1_w640.jpeg,64
69,a,Antique Inspired / Recreation,,rug-groups/s480386452440936931_p771_i1_w568.jpeg,64
68,a,African Tuareg Mat,,rug-groups/s480386452440936931_c131_i2_w500.jpeg,65
67,a,Vintage Moroccan,,rug-groups/s480386452440936931_p696_i1_w576.jpeg,65
66,a,High Atlas Collection,,rug-groups/s480386452440936931_p892_i1_w640.jpeg,65
65,a,Moroccan,"Moroccan rugs, crafted by women in the interior plains and mountains on fixed-heddle looms can vary greatly depending on the tribes that weave them. Nonetheless, they all use severely geometric Moroccan decoration, sometimes in muted tones, sometimes almost monochrome, and sometimes richly colorful tones and asymmetrical compositions without borders. The raw material of the Moroccan rugs is black or white sheep's wool, used as is or dyed with plants or minerals found in the areas where the carpets are woven. in the upper regions, others are often used while in the plains of Marrakesh, madder provides brilliant reds. Moroccan rugs provide designers with timeless, unique, and functional works of art for the modern-day home. Each rug is a primitive abstraction that is completely original to the weaver of the rug. Recognizing the beauty of these rugs in the modern environment were notable designers and architects as Charles and Ray Eames, Le Corbusier, and Frank Lloyd Wright.",rug-groups/s480386452440936931_p882_i1_w640.jpeg,64
64,a,Contemporary,"Our collection of modern,  transitional, and contemporary rugs and carpets are handwoven in  Afghanistan, Egypt, India, Pakistan, Turkey, and Nepal. We source the finest wools and silks available, infusing traditional weaving techniques with modern design aesthetics. Complete customization is available for a specific design, color, and size requirements.",rug-groups/s480386452440936931_p175_i1_w640.jpeg,
63,a,Other,,rug-groups/s480386452440936931_p61_i1_w640.jpeg,53
62,a,Tulu,,rug-groups/s480386452440936931_p79_i1_w640.jpeg,53
